spi1,prob1,proj_score1,importance1,score1,xg1,nsxg1
53.14,0.4189,1.13,34.2,1.0,1.29,1.19
66.8,0.4435,1.45,0.0,0.0,1.63,1.48
25.82,0.3034,1.2,3.1,2.0,0.81,1.16
75.45,0.823,2.72,76.6,6.0,3.82,3.01
82.3,0.8734,2.72,1.1,3.0,2.57,3.08
75.51,0.4968,1.87,75.0,2.0,2.24,1.56
52.28,0.6489,2.08,26.4,2.0,1.5,1.83
42.01,0.4382,1.51,23.3,0.0,0.42,1.03
57.73,0.6998,2.09,48.0,0.0,1.52,1.66
53.87,0.4013,1.27,22.0,0.0,0.56,0.85
76.82,0.6462,2.1,60.6,2.0,1.34,1.89
44.49,0.36200000000000004,1.34,1.0,3.0,1.62,1.53
65.14,0.4691,1.49,43.1,0.0,1.62,1.34
51.82,0.3509,1.63,100.0,0.0,0.77,1.2
89.92,0.4648,1.64,100.0,2.0,2.12,0.85
41.64,0.7044,1.87,12.8,4.0,2.56,2.53
80.67,0.5042,1.64,67.0,3.0,2.35,1.72
53.43,0.4344,1.48,33.7,1.0,2.06,0.67
60.49,0.5692,1.61,75.4,0.0,1.03,2.32
44.09,0.4394,1.47,29.5,1.0,1.28,2.0
24.61,0.3822,1.65,6.6,1.0,0.68,0.5
49.13,0.4592,1.28,31.3,0.0,1.0,1.21
42.49,0.4982,1.21,39.1,1.0,1.63,1.16
76.97,0.6191,1.71,0.0,3.0,2.8,1.1
42.69,0.5892,1.95,8.0,4.0,2.61,1.59
31.67,0.3753,1.29,58.7,1.0,1.47,0.95
56.78,0.5133,1.34,0.0,1.0,1.38,1.43
33.97,0.2606,0.98,24.2,2.0,1.22,1.44
43.93,0.3449,1.28,9.2,2.0,0.45,0.73
82.77,0.8439,2.57,81.3,1.0,1.98,1.45
52.07,0.4047,1.3,14.0,2.0,2.05,1.83
41.34,0.5796,1.78,19.9,3.0,0.83,0.98
62.56,0.5393,1.44,12.9,1.0,1.19,0.88
92.58,0.8553,2.75,68.8,1.0,0.59,2.31
84.38,0.6171,1.53,6.8,2.0,1.1,1.69
58.33,0.4625,1.73,18.4,1.0,1.08,1.22
53.46,0.4729,1.39,46.1,3.0,2.72,1.47
37.47,0.3664,1.09,43.9,2.0,0.86,0.53
34.99,0.3109,1.14,67.6,2.0,1.39,0.85
51.07,0.392,1.17,0.0,0.0,0.58,0.73
56.98,0.5788,1.81,100.0,1.0,0.75,1.04
49.26,0.3892,1.15,0.0,1.0,0.87,1.02
57.46,0.4143,1.41,37.9,5.0,2.34,1.77
67.01,0.3764,1.15,44.9,1.0,1.39,1.33
56.91,0.1865,1.13,0.0,0.0,0.23,0.63
76.47,0.6256,1.78,15.6,2.0,2.35,2.9
41.73,0.5632,1.47,0.7,1.0,0.79,0.61
74.48,0.6353,1.87,68.2,0.0,1.13,1.96
69.81,0.5461,1.76,31.5,2.0,0.76,0.95
43.95,0.2858,1.13,43.6,0.0,0.71,0.58
44.13,0.2826,1.14,37.0,1.0,0.94,1.53
40.0,0.5328,1.68,58.9,1.0,1.34,1.71
91.29,0.932,3.24,4.2,1.0,1.27,2.11
41.62,0.4397,1.69,22.9,2.0,2.36,1.64
65.75,0.1544,1.08,5.1,1.0,0.95,1.29
82.44,0.8323,2.18,22.2,3.0,3.1,1.46
49.5,0.5265,1.68,11.7,1.0,0.76,0.51
30.44,0.444,1.36,14.2,3.0,2.02,1.15
54.63,0.3831,1.24,41.2,0.0,1.14,1.72
84.36,0.5582,2.0,100.0,3.0,2.48,1.65
31.1,0.5637,1.81,30.5,1.0,2.17,1.24
58.09,0.304,1.06,22.0,2.0,1.92,1.39
50.92,0.4668,1.33,32.8,1.0,0.33,1.28
66.24,0.3574,1.19,17.3,0.0,0.84,1.73
83.28,0.8059999999999999,2.5,77.3,1.0,2.26,2.1
32.05,0.4182,1.38,27.6,3.0,1.57,0.88
49.58,0.5264,1.4,13.5,2.0,1.61,2.42
93.39,0.6679,2.24,40.1,1.0,3.41,2.36
82.64,0.7288,2.45,75.2,6.0,4.39,2.81
57.59,0.3656,1.38,13.5,2.0,1.45,1.46
48.03,0.3739,1.38,100.0,1.0,1.29,1.01
69.12,0.5243,1.72,30.4,4.0,2.69,1.67
31.4,0.5194,1.82,45.2,2.0,0.81,1.05
50.22,0.4364,1.37,0.5,4.0,2.44,0.9
38.62,0.3728,1.39,18.5,0.0,1.1,1.73
78.27,0.6622,1.96,45.2,3.0,1.16,1.05
94.67,0.7848,2.3,25.7,6.0,3.1,1.45
64.0,0.1786,1.21,1.5,0.0,0.48,0.71
37.2,0.3213,1.18,100.0,0.0,0.6,1.25
41.6,0.4781,1.47,17.9,3.0,1.12,1.12
47.38,0.4834,1.63,40.1,1.0,0.7,0.91
67.9,0.3925,1.5,35.6,0.0,1.48,0.59
73.84,0.6057,1.86,2.4,4.0,2.44,2.57
58.12,0.5463,1.7,76.9,1.0,0.24,0.56
68.49,0.3428,1.24,18.7,2.0,0.93,1.26
52.19,0.6662,2.04,27.7,0.0,0.55,1.02
35.98,0.4414,1.35,76.5,1.0,0.79,0.39
63.89,0.4889,1.61,2.2,3.0,4.48,0.91
57.69,0.4052,1.18,0.0,0.0,0.71,1.36
